CODIGO,NOME,TIPO,AREA,PERIODO,OFERTA,CH,PREREQUISITOS,EQUIVALENTES,HORARIOS
XDES01,Fundamentos de Programação,OBRIGATORIA,Desenvolvimento e Eng. de Software,1,1°SEMESTRE,64,,COM110|ECOP11A|ECOP01|ECOP11,Terça 10:10 | Quarta 10:10 | Terça 19:00 | Quinta 21:00
XDES02,Programação Orientada a Objetos,OBRIGATORIA,Desenvolvimento e Eng. de Software,3,ANUAL,64,XDES01,COM220|ECOP13A|ECOP03|ECOP13,Terça 15:45 | Quinta 15:45 | Sexta 19:00 | Quarta 21:00
XDES03,Programação Web,OBRIGATORIA,Desenvolvimento e Eng. de Software,4,ANUAL,64,XDES02,COM222|ECOX05,Terça 19:00 | Quinta 21:00 | Terça 07:55 | Quinta 07:55 | Terça 13:30 | Quinta 15:45
XDES04,Engenharia de Software I,OBRIGATORIA,Desenvolvimento e Eng. de Software,3,ANUAL,64,,COM210|ECOT01A|ECOT11A|ECOT01|ECOT11,Quarta 10:10 | Segunda 15:45 | Segunda 19:00 | Segunda 19:50 | Quinta 21:00 | Quinta 21:50
CDES05,Programação Lógica e Funcional,OBRIGATORIA,Desenvolvimento e Eng. de Software,4,2°SEMESTRE,64,XMAC01,CIC131,Sexta 13:30 | Quarta 15:45
XPAD01,Banco de Dados I,OBRIGATORIA,Persistência e Análise de Dados,4,ANUAL,64,CTCO02,COM230|ECOT03A|ECOT13A|ECOT03|ECOT13,Quinta 10:10 | Quarta 13:30 | Segunda 19:00 | Quinta 19:00
XMCO01,Inteligência Artificial,OBRIGATORIA,Metodologias Comp. e Otimização,5,ANUAL,64,XMAC02,CIC260|SIN260|XMACO01,Terça 13:30 | Quinta 13:30 | Terça 19:00
CMCO05,Introdução à Computação Visual,OBRIGATORIA,Metodologias Comp. e Otimização,5,1°SEMESTRE,64,XMAC02|XDES02,CIC271|ECOE19,Quinta 15:45 | Sexta 15:45 | Quinta 15:45 | Sexta 15:45
XRSC01,Redes de Computadores,OBRIGATORIA,Redes e Sistemas Computacionais,4,ANUAL,64,CRSC02,COM240|TELC03A|TELC13A|TELC03|TELC13,Sexta 19:00 | Terça 21:00 | Segunda 13:30 | Quinta 13:30
CRSC02,Sistemas Operacionais,OBRIGATORIA,Redes e Sistemas Computacionais,3,ANUAL,64,CTCO01|CRSC04,COM120|ECOS01A|ECOS11A|ECOS01,Terça 13:30 | Quinta 13:30
CRSC03,Arquitetura de Computadores I,OBRIGATORIA,Redes e Sistemas Computacionais,1,1°SEMESTRE,64,,CIC120|ELTD01A|ELTD11A|ELTD01|ELTD11,Terça 15:45 | Quinta 15:45
CRSC04,Arquitetura de Computadores II,OBRIGATORIA,Redes e Sistemas Computacionais,2,2°SEMESTRE,64,CRSC03,CIC121|ECOX01,Terça 13:30 | Quinta 13:30
CRSC05,Sistemas Embarcados,OBRIGATORIA,Redes e Sistemas Computacionais,4,ANUAL,64,CRSC02,ECOP04|ECOP14,Terça 07:55
CTCO01,Algoritmos e Estruturas de Dados I,OBRIGATORIA,Teoria da Computação,2,2°SEMESTRE,64,XDES01,COM111|STCO01|ECOP02A|ECOP02|ECOP12,Quarta 13:30 | Sexta 13:30
CTCO02,Algoritmos e Estruturas de Dados II,OBRIGATORIA,Teoria da Computação,3,1°SEMESTRE,64,CTCO01,COM112|STCO02,Segunda 13:30 | Quarta 15:45
CTCO03,Análise e Projeto Orientados a Objeto,OBRIGATORIA,Teoria da Computação,4,1°SEMESTRE,64,XDES02,COM221,Quarta 07:55 | Sexta 10:10
CTCO04,Projeto e Análise de Algoritmos,OBRIGATORIA,Teoria da Computação,4,2°SEMESTRE,64,CTCO02,CIC110,Quinta 10:10 | Segunda 15:45
CTCO05,Teoria da Computação,OBRIGATORIA,Teoria da Computação,6,1°SEMESTRE,64,CTCO04|CDES05,CIC132,Sexta 07:55 | Terça 10:10
CTCO06,Compiladores,OBRIGATORIA,Teoria da Computação,7,2°SEMESTRE,64,CTCO05,CIC220,Quinta 10:10 | Segunda 15:45
MAT00A,Cálculo A,OBRIGATORIA,Matemática da Computação,1,ANUAL,64,,MAT001,Quarta 13:30 | Segunda 15:45 | Segunda 19:00 | Quarta 21:00
MAT00B,Cálculo B,OBRIGATORIA,Matemática da Computação,2,ANUAL,64,MAT00A,MAT002,Segunda 07:55 | Quarta 10:10
XMAC01,Matemática Discreta,OBRIGATORIA,Matemática da Computação,1,ANUAL,64,,MAT015|MAT057|MAT017|ECOM01A|ECOM11A|ECOM01|ECOM11,Terça 07:55 | Quarta 07:55 | Quarta 19:00 | Segunda 21:00
XMAC02,Métodos Matemáticos para Análise de Dados,OBRIGATORIA,Matemática da Computação,3,ANUAL,64,MAT00A|XMAC01|CTCO01,MAT013,Quarta 13:30 | Sexta 13:30 | Quarta 19:00 | Terça 21:00
CMAC03,Algoritmos em Grafos,OBRIGATORIA,Matemática da Computação,3,ANUAL,64,CTCO01,SIN110|SMAC03,Quinta 07:55 | Terça 10:10
CMAC04,Modelagem Computacional,OBRIGATORIA,Matemática da Computação,2,2°SEMESTRE,64,MAT00A,CIC510,Quarta 15:45 | Quinta 15:45
