semestre,codigo,nome,tipo_flag,ch,turma,frequencia,nota_min,media,situacao
TRANSFERENCIA,MAT001,CÁLCULO I,EQUIVALENTE_OBRIGATORIO,96,--,100.0,,,CUMP
TRANSFERENCIA,MAT002,CÁLCULO II,EQUIVALENTE_OBRIGATORIO,64,--,100.0,,,CUMP
TRANSFERENCIA,MAT011,GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,OPTATIVA,64,--,100.0,,,CUMP
TRANSFERENCIA,SOC003,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",EQUIVALENTE_OPTATIVA,32,--,100.0,,,CUMP
TRANSFERENCIA,XDES01,FUNDAMENTOS DE PROGRAMAÇÃO,,64,--,100.0,,,CUMP
2023.1,CAHC04,PROJETO INTEGRADO,,32,01,93.0,5.8,6.9,APR
2023.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,96.0,5.2,5.5,REP
2023.1,XMAC01,MATEMÁTICA DISCRETA,,64,01,100.0,0.0,3.5,REP
2024.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,96.0,5.6,6.4,APR
2024.1,SIN313,ORGANIZAÇÃO E MÉTODOS,ELETIVA,48,01,93.0,5.1,6.0,APR
2024.1,XMAC01,MATEMÁTICA DISCRETA,,64,01,100.0,6.5,7.6,APR
2024.1,XMCO01,INTELIGÊNCIA ARTIFICIAL,,64,01,100.0,8.0,8.3,APR
2024.2,CMAC04,MODELAGEM COMPUTACIONAL,,64,01,100.0,,,MATR
2024.2,CRSC04,ARQUITETURA DE COMPUTADORES II,,64,01,100.0,,,MATR
2024.2,CTCO01,ALGORITMOS E ESTRUTURA DE DADOS I,,64,01,100.0,,,MATR
2024.2,XAHC01,COMPUTAÇÃO E SOCIEDADE,,64,01,100.0,,,MATR
2024.2,XDES04,ENGENHARIA DE SOFTWARE I,,64,01,100.0,,,MATR
