codigo_disciplina,turma,dia,horario_inicio,horario_fim,turno,professor,sala,semestre
XDES01,01,TER,10:10,11:50,MANHA,Melise,LDC2,2025.1
XDES01,01,QUA,10:10,11:50,MANHA,Melise,LDC2,2025.1
XDES01,02,TER,19:00,20:40,NOITE,Vanessa,LDC6,2025.1
XDES01,02,QUI,19:00,20:40,NOITE,Vanessa,LDC6,2025.1
CRSC03,01,TER,13:30,15:10,TARDE,Minoru,LDC2,2025.1
CRSC03,01,QUI,13:30,15:10,TARDE,Minoru,Sala,2025.1
MAT00A,01,QUA,13:30,15:10,TARDE,Prof.imc,Sala,2025.1
MAT00A,01,SEG,15:45,17:25,TARDE,Prof.imc,Sala,2025.1
MAT00A,02,SEG,19:00,20:40,NOITE,Prof.imc,Sala,2025.1
MAT00A,02,QUA,19:00,20:40,NOITE,Prof.imc,Sala,2025.1
XMAC01,01,QUA,15:45,17:25,TARDE,Claudino,Sala,2025.1
XMAC01,01,QUI,15:45,17:25,TARDE,Claudino,Sala,2025.1
CAHC04,01,TER,15:45,17:25,TARDE,Pedro,Sala,2025.1
XDES04,01,SEG,10:10,11:50,MANHA,Adler,Sala,2025.1
XDES04,01,TER,10:10,11:50,MANHA,Adler,Sala,2025.1
XDES02,01,QUA,10:10,11:50,MANHA,Laercio,LDC2,2025.1
XDES02,01,SEG,15:45,17:25,TARDE,Laercio,LDC2,2025.1
XMAC02,01,QUI,10:10,11:50,MANHA,Laercio,LDC6,2025.1
XMAC02,01,TER,13:30,15:10,TARDE,Laercio,LDC6,2025.1
CMAC03,01,SEG,13:30,15:10,TARDE,Rafael,LDC5,2025.1
CMAC03,01,QUA,13:30,15:10,TARDE,Rafael,LDC5,2025.1
CTCO02,01,QUI,13:30,15:10,TARDE,Vanessa,LDC5,2025.1
CTCO02,01,QUA,15:45,17:25,TARDE,Vanessa,LDC5,2025.1
CRSC02,01,TER,15:45,17:25,TARDE,Minoru,LDC2,2025.1
CRSC02,01,QUI,15:45,17:25,TARDE,Minoru,Sala,2025.1
CTCO03,01,TER,07:55,09:35,MANHA,Rodrigo,LDC6,2025.1
CTCO03,01,TER,10:10,11:50,MANHA,Rodrigo,LDC6,2025.1
CTCO05,01,QUA,10:10,11:50,MANHA,Claudino,Sala,2025.1
CTCO05,01,QUI,10:10,11:50,MANHA,Claudino,Sala,2025.1
XMCO01,01,SEG,13:30,15:10,TARDE,Isabela,Sala,2025.1
XMCO01,01,TER,13:30,15:10,TARDE,Isabela,Sala,2025.1
XPAD01,01,QUA,13:30,15:10,TARDE,Melise,LDC2,2025.1
XPAD01,01,QUI,13:30,15:10,TARDE,Melise,LDC2,2025.1
CMCO05,01,SEX,13:30,15:10,TARDE,Elisa,LDC2,2025.1
CMCO05,01,QUA,15:45,17:25,TARDE,Elisa,LDC2,2025.1
XRSC01,01,QUI,19:00,20:40,NOITE,Bruno,LDC5,2025.1
XRSC01,01,QUA,21:00,22:40,NOITE,Bruno,LDC5,2025.1
XAHC01,01,QUI,13:30,15:10,TARDE,Adriana,Sala,2025.1
XAHC03,01,SEX,13:30,15:10,TARDE,Adriana,Sala,2025.1
XAHC02,01,QUI,19:00,20:40,NOITE,Rodrigo,Sala,2025.1
XAHC02,01,SEX,21:00,22:40,NOITE,Rodrigo,Sala,2025.1
